probe	gene_hg38	geneType	Composite Element REF	Beta_value	Gene_Symbol	Chromosome	Genomic_Coordinate	gene_hg19	hg19_in_hg38	hg38_in_hg19	different_gene_annotation
cg16273788	ASB7;LINS	protein_coding	cg16273788	0.0239288158767485	LINS1;ASB7	15	101142760	ASB7;LINS1	FALSE	TRUE	TRUE
cg16274148	C9orf156	protein_coding	cg16274148	0.00952981787609741	C9orf156	9	100684771	C9orf156	TRUE	TRUE	FALSE
cg16275172	TMOD3	protein_coding	cg16275172	0.0113204125893555	TMOD3	15	52121933	TMOD3	TRUE	TRUE	FALSE
cg16276070	ZNF550	protein_coding	cg16276070	0.19973359214918	NA	19	58070951	NA	TRUE	FALSE	TRUE
cg16276199	PPP1CB	protein_coding	cg16276199	0.0133530195913942	PPP1CB	2	28974102	PPP1CB	TRUE	TRUE	FALSE
cg16279786	NRXN1	protein_coding	cg16279786	0.965054444343483	NRXN1	2	51255306	NRXN1	TRUE	TRUE	FALSE
cg16280313	PEX16	protein_coding	cg16280313	0.0185133240667628	PEX16	11	45939543	PEX16	TRUE	TRUE	FALSE
cg16280667	CXCR5	protein_coding	cg16280667	0.789108250819425	CXCR5	11	118754593	CXCR5	TRUE	TRUE	FALSE
cg16280922	SWT1;TRMT1L	protein_coding	cg16280922	0.0190817589573943	C1orf25;C1orf26	1	185125973	C1orf25;C1orf26	FALSE	FALSE	TRUE
cg16281796	PEX26;XXbac-B476C20.9	protein_coding;antisense	cg16281796	0.0157187578059275	PEX26	22	18560863	PEX26	TRUE	FALSE	TRUE
cg16282101	FAHD2A	protein_coding	cg16282101	0.0129276378831657	FAHD2A	2	96068839	FAHD2A	TRUE	TRUE	FALSE
cg16282679	EGFL8;PPT2-EGFL8	protein_coding	cg16282679	0.953558446909514	EGFL8	6	32134310	EGFL8	TRUE	FALSE	TRUE
cg16284168	AP4M1;MCM7	protein_coding	cg16284168	0.0232056829559061	MCM7;AP4M1	7	99698217	AP4M1;MCM7	TRUE	TRUE	FALSE
cg16284292	ZBTB43	protein_coding	cg16284292	0.0992068127970349	ZBTB43	9	129567924	ZBTB43	TRUE	TRUE	FALSE
cg16286776	AGO2;ERICD	protein_coding;lincRNA	cg16286776	0.00853613954154837	EIF2C2	8	141644897	EIF2C2	FALSE	FALSE	TRUE
cg16290693	SPSB1	protein_coding	cg16290693	0.149374742646738	NA	NA	0	NA	TRUE	FALSE	TRUE
cg16290737	CHGA	protein_coding	cg16290737	0.319449501652735	CHGA	14	93389246	CHGA	TRUE	TRUE	FALSE
cg16293088	NF2	protein_coding	cg16293088	0.0165690497920322	NF2	22	29999326	NF2	TRUE	TRUE	FALSE
cg16293105	SIGLEC6	protein_coding	cg16293105	0.57424410969542	SIGLEC6	19	52034970	SIGLEC6	TRUE	TRUE	FALSE
cg16293656	FGF17	protein_coding	cg16293656	0.592521220838575	FGF17	8	21900438	FGF17	TRUE	TRUE	FALSE
cg16293991	CPSF3L;CPTP	protein_coding	cg16293991	0.0306202850607884	NA	NA	0	NA	TRUE	FALSE	TRUE
cg16295988	INIP	protein_coding	cg16295988	0.013457810975059	C9orf80	9	115480625	C9orf80	FALSE	FALSE	TRUE
cg16296356	FNDC8;RAD51D;RAD51L3-RFFL	protein_coding	cg16296356	NA	RAD51L3	17	33447110	RAD51L3	TRUE	FALSE	TRUE
cg16297030	AGXT2	protein_coding	cg16297030	0.776387156528417	AGXT2	5	35047946	AGXT2	TRUE	TRUE	FALSE
cg16298264	MBLAC2;POLR3G	protein_coding	cg16298264	0.00917427424082175	MBLAC2;POLR3G	5	89770699	MBLAC2;POLR3G	TRUE	TRUE	FALSE
cg16298282	UFL1;UFL1-AS1	protein_coding;antisense	cg16298282	0.0686980890527491	KIAA0776	6	96969423	KIAA0776	FALSE	FALSE	TRUE
cg16299341	OSBPL9	protein_coding	cg16299341	0.0238198069805285	OSBPL9	1	52082824	OSBPL9	TRUE	TRUE	FALSE
cg16299616	NA	.	cg16299616	0.0204697231698927	NA	NA	0	NA	TRUE	TRUE	FALSE
cg16301617	TMC6;TMC8	protein_coding	cg16301617	0.629610229134501	TMC8;TMC6	17	76128906	TMC6;TMC8	TRUE	TRUE	FALSE
cg16302441	POMC	protein_coding	cg16302441	0.711189748493395	POMC	2	25391830	POMC	TRUE	TRUE	FALSE
cg16303453	CA7;NAE1;RP11-61A14.1	protein_coding;antisense	cg16303453	0.0742744259577122	CA7	16	66879016	CA7	TRUE	FALSE	TRUE
cg16303562	MSR1	protein_coding	cg16303562	0.710865061070597	MSR1	8	16050333	MSR1	TRUE	TRUE	FALSE
cg16306115	DCDC2;KAAG1	protein_coding	cg16306115	0.076466045417422	KAAG1;DCDC2	6	24358306	DCDC2;KAAG1	TRUE	TRUE	FALSE
cg16306381	RP11-51F16.8;STRADA	protein_coding	cg16306381	0.0131837397245997	STRADA	17	61819073	STRADA	TRUE	FALSE	TRUE
cg16307860	AIDA;BROX	protein_coding	cg16307860	0.0629090801583036	C1orf58;AIDA	1	222886951	AIDA;C1orf58	FALSE	FALSE	TRUE
cg16310262	SLC24A1;VWA9	protein_coding	cg16310262	0.0222920186884463	C15orf44	15	65903328	C15orf44	FALSE	FALSE	TRUE
cg16310717	CCND2;CCND2-AS1;CCND2-AS2	protein_coding;antisense	cg16310717	0.0862940918657941	CCND2	12	4383619	CCND2	TRUE	FALSE	TRUE
cg16312163	ALDH1L1;ALDH1L1-AS2	protein_coding;antisense	cg16312163	0.100568232303409	ALDH1L1	3	125899401	ALDH1L1	TRUE	FALSE	TRUE
cg16312647	PPIB	protein_coding	cg16312647	0.0200501524522489	PPIB	15	64455677	PPIB	TRUE	TRUE	FALSE
cg16312916	ACAD10;BRAP	protein_coding	cg16312916	0.00858934461637211	ACAD10;BRAP	12	112123964	ACAD10;BRAP	TRUE	TRUE	FALSE
cg16313343	BRF1;PACS2	protein_coding	cg16313343	0.0610259194728221	BRF1	14	105768109	BRF1	TRUE	FALSE	TRUE
cg16313587	BRF2	protein_coding	cg16313587	0.017522067183421	BRF2	8	37707285	BRF2	TRUE	TRUE	FALSE
cg16315923	KIAA0195	protein_coding	cg16315923	0.019736299514396	KIAA0195	17	73453100	KIAA0195	TRUE	TRUE	FALSE
cg16317961	MAPRE2	protein_coding	cg16317961	0.0133082717634535	MAPRE2	18	32621748	MAPRE2	TRUE	TRUE	FALSE
cg16319213	C21orf58;PCNT	protein_coding	cg16319213	0.0278384236513887	NA	NA	0	NA	TRUE	FALSE	TRUE
cg16319578	HSPA2;RP11-973N13.4	protein_coding;antisense	cg16319578	0.48772453092998	HSPA2	14	65007512	HSPA2	TRUE	FALSE	TRUE
cg16321029	SNRPN	protein_coding	cg16321029	0.759604643605839	SNRPN	15	25068850	SNRPN	TRUE	TRUE	FALSE
cg16323498	ATPAF2;GID4	protein_coding	cg16323498	0.0161011458034862	ATPAF2;C17orf39	17	17943126	ATPAF2;C17orf39	FALSE	FALSE	TRUE
cg16324018	ELMOD3;RETSAT	protein_coding	cg16324018	NA	ELMOD3;RETSAT	2	85580627	ELMOD3;RETSAT	TRUE	TRUE	FALSE
cg16326979	OXR1;RP11-649G15.2	protein_coding;antisense	cg16326979	0.00965856382449707	OXR1	8	107670161	OXR1	TRUE	FALSE	TRUE
cg16328273	CCNE2;NDUFAF6	protein_coding	cg16328273	0.00848460408035184	CCNE2	8	95908119	CCNE2	TRUE	FALSE	TRUE
cg16328820	DLD	protein_coding	cg16328820	0.013277549897018	DLD	7	107531982	DLD	TRUE	TRUE	FALSE
cg16330965	MIR4512;RPL4;SNAPC5	miRNA;protein_coding	cg16330965	0.249832552679813	SNAPC5	15	66790390	SNAPC5	TRUE	FALSE	TRUE
cg16332060	IFT46	protein_coding	cg16332060	0.0249121186147349	C11orf60	11	118436807	C11orf60	FALSE	FALSE	TRUE
cg16332224	DPM1;MOCS3	protein_coding	cg16332224	0.924029412961652	MOCS3;DPM1	20	49576406	DPM1;MOCS3	TRUE	TRUE	FALSE
cg16332577	ERBB2;MIEN1	protein_coding	cg16332577	0.118068081573955	C17orf37	17	37886349	C17orf37	FALSE	FALSE	TRUE
cg16334519	ARL14	protein_coding	cg16334519	0.298012560750636	NA	NA	0	NA	TRUE	FALSE	TRUE
cg16334795	BACE2;MIR3197	protein_coding;miRNA	cg16334795	0.310700178703665	BACE2	21	42538894	BACE2	TRUE	FALSE	TRUE
cg16334840	SCLY;UBE2F-SCLY	protein_coding	cg16334840	NA	SCLY	2	238968944	SCLY	TRUE	FALSE	TRUE
cg16335762	CMTM3	protein_coding	cg16335762	0.712009713844419	CMTM3	16	66637919	CMTM3	TRUE	TRUE	FALSE
cg16336120	RAMP3	protein_coding	cg16336120	0.512394807428435	RAMP3	7	45197318	RAMP3	TRUE	TRUE	FALSE
cg16338035	C3orf58	protein_coding	cg16338035	0.0136688583134259	C3orf58	3	143691269	C3orf58	TRUE	TRUE	FALSE
cg16338347	ALCAM	protein_coding	cg16338347	0.017429494801854	ALCAM	3	105085463	ALCAM	TRUE	TRUE	FALSE
cg16338822	TPX2	protein_coding	cg16338822	0.0165604797346415	TPX2	20	30326883	TPX2	TRUE	TRUE	FALSE
cg16339185	SGOL1;SGOL1-AS1	protein_coding;antisense	cg16339185	0.0164041745117482	SGOL1	3	20227809	SGOL1	TRUE	FALSE	TRUE
cg16340268	ITPKB	protein_coding	cg16340268	0.553098301698458	ITPKB	1	226925172	ITPKB	TRUE	TRUE	FALSE
cg16340918	KIF11	protein_coding	cg16340918	0.0128666689129491	KIF11	10	94352700	KIF11	TRUE	TRUE	FALSE
cg16341373	C1orf109;CDCA8	protein_coding	cg16341373	0.0208028103622285	CDCA8	1	38157962	CDCA8	TRUE	FALSE	TRUE
cg16342780	PLXNB3;U52111.14	protein_coding;antisense	cg16342780	0.845875015194451	PLXNB3	X	153030343	PLXNB3	TRUE	FALSE	TRUE
cg16343696	KPNA6	protein_coding	cg16343696	0.0126254162328891	KPNA6	1	32574126	KPNA6	TRUE	TRUE	FALSE
cg16343842	CD99L2	protein_coding	cg16343842	0.0622370565521961	CD99L2	X	150066722	CD99L2	TRUE	TRUE	FALSE
cg16345226	CTC-429P9.4;SMIM7;TMEM38A	protein_coding	cg16345226	0.0606033454713591	TMEM38A;C19orf42	19	16771394	C19orf42;TMEM38A	FALSE	FALSE	TRUE
cg16345880	SARS	protein_coding	cg16345880	0.0210139609300184	SARS	1	109756737	SARS	TRUE	TRUE	FALSE
cg16348491	MYL12B;RP13-270P17.1	protein_coding;antisense	cg16348491	0.0258631511215818	MYL12B	18	3262664	MYL12B	TRUE	FALSE	TRUE
cg16351002	CUZD1;FAM24B	protein_coding	cg16351002	0.798740042218804	FAM24B	10	124610101	FAM24B	TRUE	FALSE	TRUE
cg16351184	DPH7	protein_coding	cg16351184	0.00782406429223548	WDR85	9	140473184	WDR85	FALSE	FALSE	TRUE
cg16352283	FAM46B	protein_coding	cg16352283	0.412493006495529	FAM46B	1	27338978	FAM46B	TRUE	TRUE	FALSE
cg16353413	CDC25B;CENPB	protein_coding	cg16353413	0.0173566691382844	CENPB	20	3767628	CENPB	TRUE	FALSE	TRUE
cg16353836	SAFB;SAFB2	protein_coding	cg16353836	0.013066533026358	SAFB2;SAFB	19	5623459	SAFB;SAFB2	TRUE	TRUE	FALSE
cg16354207	UBE2F;UBE2F-SCLY	protein_coding	cg16354207	0.0486354701049022	UBE2F	2	238874908	UBE2F	TRUE	FALSE	TRUE
cg16356516	AARS;EXOSC6	protein_coding	cg16356516	0.962408661553157	AARS;EXOSC6	16	70286390	AARS;EXOSC6	TRUE	TRUE	FALSE
cg16356956	CSF2RB	protein_coding	cg16356956	0.895390771216454	CSF2RB	22	37317934	CSF2RB	TRUE	TRUE	FALSE
cg16357381	COL7A1	protein_coding	cg16357381	0.0324802228749839	COL7A1	3	48632892	COL7A1	TRUE	TRUE	FALSE
cg16357921	CDK20	protein_coding	cg16357921	0.0680267486501218	CDK20	9	90589634	CDK20	TRUE	TRUE	FALSE
cg16358738	AGXT	protein_coding	cg16358738	0.828485684024024	AGXT	2	241808595	AGXT	TRUE	TRUE	FALSE
cg16358826	GABRA4;GABRB1	protein_coding	cg16358826	0.0445748486939297	GABRA4	4	46996264	GABRA4	TRUE	FALSE	TRUE
cg16359129	C1orf111;C1orf226;RP11-565P22.6	protein_coding	cg16359129	NA	C1orf226;C1orf111	1	162347752	C1orf111;C1orf226	TRUE	FALSE	TRUE
cg16360372	SPINK1	protein_coding	cg16360372	NA	SPINK1	5	147212728	SPINK1	TRUE	TRUE	FALSE
cg16360444	ITGA7	protein_coding	cg16360444	0.0277916904852841	ITGA7	12	56102181	ITGA7	TRUE	TRUE	FALSE
cg16361890	LTC4S;MAML1	protein_coding	cg16361890	0.609419426818207	LTC4S	5	179220545	LTC4S	TRUE	FALSE	TRUE
cg16362133	SLC11A2	protein_coding	cg16362133	0.025967853620499	SLC11A2	12	51420474	SLC11A2	TRUE	TRUE	FALSE
cg16363586	BST2;CTD-2521M24.9;MVB12A	protein_coding;lincRNA	cg16363586	0.710190569218999	BST2	19	17516329	BST2	TRUE	FALSE	TRUE
cg16366323	C17orf105;DUSP3	protein_coding	cg16366323	0.0243340842859733	C17orf105;DUSP3	17	41856855	C17orf105;DUSP3	TRUE	TRUE	FALSE
cg16367027	C9orf43;POLE3	protein_coding	cg16367027	NA	C9orf43;POLE3	9	116174442	C9orf43;POLE3	TRUE	TRUE	FALSE
cg16367232	RP4-537K23.4;UTP14A	antisense;protein_coding	cg16367232	0.0371812544040196	UTP14A	X	129040481	UTP14A	TRUE	FALSE	TRUE
cg16370389	PTTG2;TBC1D1	protein_coding	cg16370389	0.95611973345852	PTTG2;TBC1D1	4	37962041	PTTG2;TBC1D1	TRUE	TRUE	FALSE
cg16370737	SYP;SYP-AS1	protein_coding;antisense	cg16370737	0.0599361907840102	NA	NA	0	NA	TRUE	FALSE	TRUE
cg16371833	CASK;GPR34	protein_coding	cg16371833	0.581821098378822	NA	NA	0	NA	TRUE	FALSE	TRUE
cg16372520	NRXN3	protein_coding	cg16372520	0.263405609950996	NRXN3	14	78869751	NRXN3	TRUE	TRUE	FALSE
cg16375728	LRRC45;STRA13	protein_coding	cg16375728	0.0158741286081019	LRRC45;STRA13	17	79980611	LRRC45;STRA13	TRUE	TRUE	FALSE
cg16376234	TOP1	protein_coding	cg16376234	0.0617959464875187	TOP1	20	39657506	TOP1	TRUE	TRUE	FALSE
cg16377872	SLC1A6	protein_coding	cg16377872	0.885590629015205	SLC1A6	19	15084823	SLC1A6	TRUE	TRUE	FALSE
cg16377880	CYP4F3	protein_coding	cg16377880	0.36216220811137	CYP4F3	19	15751167	CYP4F3	TRUE	TRUE	FALSE
cg16378421	ABCC5	protein_coding	cg16378421	0.0171780907380338	ABCC5	3	183736171	ABCC5	TRUE	TRUE	FALSE
cg16379513	FAM229A;TSSK3	protein_coding	cg16379513	0.944581956431081	LOC100128071;TSSK3	1	32827150	LOC100128071;TSSK3	FALSE	FALSE	TRUE
cg16381688	ACOT13;TDP2	protein_coding	cg16381688	NA	ACOT13;TTRAP	6	24665947	ACOT13;TTRAP	FALSE	FALSE	TRUE
cg16381752	TOR1AIP2	protein_coding	cg16381752	0.028521480506062	TOR1AIP2	1	179847085	TOR1AIP2	TRUE	TRUE	FALSE
cg16382256	EIF2B5;EPHB3	protein_coding	cg16382256	0.0183318246322628	EPHB3	3	184279657	EPHB3	TRUE	FALSE	TRUE
cg16382322	ARAP3	protein_coding	cg16382322	0.0130238959452821	ARAP3	5	141061902	ARAP3	TRUE	TRUE	FALSE
cg16382382	TGFBR3	protein_coding	cg16382382	0.0140945949861962	TGFBR3	1	92351047	TGFBR3	TRUE	TRUE	FALSE
cg16384137	TEX29	protein_coding	cg16384137	0.637942771408345	C13orf16	13	111972997	C13orf16	FALSE	FALSE	TRUE
cg16385933	PDCD4;PDCD4-AS1	protein_coding;antisense	cg16385933	0.00889399599356443	LOC282997;PDCD4	10	112631792	LOC282997;PDCD4	FALSE	FALSE	TRUE
cg16386080	CDK20	protein_coding	cg16386080	0.665199147029795	CDK20	9	90589146	CDK20	TRUE	TRUE	FALSE
cg16386158	IL18R1;IL1RL1	protein_coding	cg16386158	NA	IL1RL1	2	102927397	IL1RL1	TRUE	FALSE	TRUE
cg16387606	NA	.	cg16387606	0.0237756511842804	NA	NA	0	NA	TRUE	TRUE	FALSE
cg16388829	ARID5A	protein_coding	cg16388829	0.0149151158632043	ARID5A	2	97202323	ARID5A	TRUE	TRUE	FALSE
cg16390856	NA	.	cg16390856	0.831772238042296	NA	NA	0	NA	TRUE	TRUE	FALSE
cg16391151	NOD1	protein_coding	cg16391151	0.0107496352827842	NOD1	7	30518197	NOD1	TRUE	TRUE	FALSE
cg16391792	ALDH1A2;LIPC	protein_coding	cg16391792	0.884542528977352	LIPC	15	58723657	LIPC	TRUE	FALSE	TRUE
cg16393207	GDPD5	protein_coding	cg16393207	0.808712709007583	GDPD5	11	75237739	GDPD5	TRUE	TRUE	FALSE
cg16394138	XPR1	protein_coding	cg16394138	0.00804985859975244	XPR1	1	180601363	XPR1	TRUE	TRUE	FALSE
cg16396417	CENPBD1P1;MZF1;MZF1-AS1	transcribed_processed_pseudogene;protein_coding;antisense	cg16396417	0.067751816930193	MZF1;LOC100131691	19	59085259	LOC100131691;MZF1	FALSE	FALSE	TRUE
cg16396488	PLA2G1B	protein_coding	cg16396488	NA	PLA2G1B	12	120766223	PLA2G1B	TRUE	TRUE	FALSE
cg16396948	PHLDB2	protein_coding	cg16396948	0.867706695107138	PHLDB2	3	111603394	PHLDB2	TRUE	TRUE	FALSE
cg16398289	WDR49	protein_coding	cg16398289	NA	WDR49	3	167372745	WDR49	TRUE	TRUE	FALSE
cg16399745	MRPL51;NCAPD2	protein_coding	cg16399745	0.121522655549281	NCAPD2	12	6604039	NCAPD2	TRUE	FALSE	TRUE
cg16400825	ITPR3	protein_coding	cg16400825	0.0146976696708191	ITPR3	6	33589418	ITPR3	TRUE	TRUE	FALSE
cg16404106	CCDC81	protein_coding	cg16404106	0.661091374685667	CCDC81	11	86085623	CCDC81	TRUE	TRUE	FALSE
cg16404689	C1orf112;METTL18	protein_coding	cg16404689	0.0131096173501149	C1orf156;C1orf112	1	169764273	C1orf112;C1orf156	FALSE	FALSE	TRUE
cg16405575	TSPAN9	protein_coding	cg16405575	0.0126214650303829	TSPAN9	12	3186173	TSPAN9	TRUE	TRUE	FALSE
cg16405957	KRT2	protein_coding	cg16405957	0.944504447307552	KRT2	12	53045793	KRT2	TRUE	TRUE	FALSE
cg16406212	UBXN2A	protein_coding	cg16406212	0.0138380210532921	UBXN2A	2	24163862	UBXN2A	TRUE	TRUE	FALSE
cg16408394	RXRA	protein_coding	cg16408394	0.0136143271121935	RXRA	9	137219075	RXRA	TRUE	TRUE	FALSE
cg16408565	ORM2	protein_coding	cg16408565	NA	ORM2	9	117090924	ORM2	TRUE	TRUE	FALSE
cg16408970	BAMBI	protein_coding	cg16408970	0.306656474555951	BAMBI	10	28965584	BAMBI	TRUE	TRUE	FALSE
cg16409869	KCTD14;NDUFC2;NDUFC2-KCTD14	protein_coding	cg16409869	0.0181307154035459	NDUFC2	11	77790796	NDUFC2	TRUE	FALSE	TRUE
cg16411152	ADAM29	protein_coding	cg16411152	0.677799363013417	ADAM29	4	175839604	ADAM29	TRUE	TRUE	FALSE
cg16413535	TKTL2	protein_coding	cg16413535	0.59880069574647	TKTL2	4	164395149	TKTL2	TRUE	TRUE	FALSE
cg16413777	RSAD1	protein_coding	cg16413777	NA	RSAD1	17	48555933	RSAD1	TRUE	TRUE	FALSE
cg16414852	SULT1B1	protein_coding	cg16414852	0.154939983741944	SULT1B1	4	70626128	SULT1B1	TRUE	TRUE	FALSE
cg16414945	DUSP12	protein_coding	cg16414945	0.0581990706086763	DUSP12	1	161719333	DUSP12	TRUE	TRUE	FALSE
cg16415058	SORCS1	protein_coding	cg16415058	0.554932335349936	SORCS1	10	108923781	SORCS1	TRUE	TRUE	FALSE
cg16415646	AC005027.3;INHBA;INHBA-AS1	sense_overlapping;protein_coding;antisense	cg16415646	0.219858426488222	LOC285954;INHBA	7	41743001	INHBA;LOC285954	FALSE	FALSE	TRUE
cg16417437	TMEM126A	protein_coding	cg16417437	0.0456713565199282	TMEM126A	11	85358767	TMEM126A	TRUE	TRUE	FALSE
cg16417937	NUDC	protein_coding	cg16417937	0.00998831497297186	NUDC	1	27248012	NUDC	TRUE	TRUE	FALSE
cg16418163	PXYLP1	protein_coding	cg16418163	0.0143909394330193	ACPL2	3	140950828	ACPL2	FALSE	FALSE	TRUE
cg16418329	CABS1	protein_coding	cg16418329	0.835700459913194	C4orf35	4	71200751	C4orf35	FALSE	FALSE	TRUE
cg16418684	VWCE	protein_coding	cg16418684	0.019228591885767	VWCE	11	61062205	VWCE	TRUE	TRUE	FALSE
cg16419345	ACOX1;TEN1;TEN1-CDK3	protein_coding	cg16419345	0.0290259566897598	ACOX1;C17orf106	17	73976089	ACOX1;C17orf106	FALSE	FALSE	TRUE
cg16420530	ING2;RP11-367N14.2	protein_coding;antisense	cg16420530	0.0197112760325124	ING2	4	184426759	ING2	TRUE	FALSE	TRUE
cg16420888	C11orf68;DRAP1	protein_coding	cg16420888	0.0187512284304082	C11orf68;DRAP1	11	65687479	C11orf68;DRAP1	TRUE	TRUE	FALSE
cg16421285	SAE1	protein_coding	cg16421285	NA	SAE1	19	47633827	SAE1	TRUE	TRUE	FALSE
cg16421589	PANK3	protein_coding	cg16421589	0.0210728319108819	PANK3	5	168006761	PANK3	TRUE	TRUE	FALSE
cg16422907	CCNA1	protein_coding	cg16422907	NA	CCNA1	13	37006734	CCNA1	TRUE	TRUE	FALSE
cg16425577	DENND3;RP11-809O17.1	protein_coding;antisense	cg16425577	0.0156880467700321	DENND3	8	142139654	DENND3	TRUE	FALSE	TRUE
cg16426459	MLPH	protein_coding	cg16426459	0.0773178462243882	MLPH	2	238396155	MLPH	TRUE	TRUE	FALSE
cg16427670	ARHGEF7;ARHGEF7-AS2	protein_coding;antisense	cg16427670	0.31016498148489	ARHGEF7	13	111766902	ARHGEF7	TRUE	FALSE	TRUE
cg16428251	SOX14	protein_coding	cg16428251	0.53443484988032	SOX14	3	137483479	SOX14	TRUE	TRUE	FALSE
cg16429439	MAGT1	protein_coding	cg16429439	0.0750477123806618	MAGT1	X	77150966	MAGT1	TRUE	TRUE	FALSE
cg16431978	KRTAP13-2;KRTAP13-3	protein_coding	cg16431978	0.377852812514746	KRTAP13-3	21	31797932	KRTAP13-3	TRUE	FALSE	TRUE
cg16433922	EPDR1;SFRP4	protein_coding	cg16433922	NA	SFRP4	7	37956704	SFRP4	TRUE	FALSE	TRUE
cg16434306	NPR3	protein_coding	cg16434306	0.926560790742816	C5orf23	5	32788128	C5orf23	FALSE	FALSE	TRUE
cg16434546	CWC27;SREK1IP1	protein_coding	cg16434546	NA	SFRS12IP1;SDCCAG10	5	64063849	SDCCAG10;SFRS12IP1	FALSE	FALSE	TRUE
cg16435601	BPTF	protein_coding	cg16435601	0.013726136965882	BPTF	17	65822392	BPTF	TRUE	TRUE	FALSE
cg16438432	HNRNPD;RP11-127B20.3	protein_coding;antisense	cg16438432	0.0231231876515914	HNRNPD	4	83294858	HNRNPD	TRUE	FALSE	TRUE
cg16440909	MAMLD1	protein_coding	cg16440909	0.246049396656242	MAMLD1	X	149613745	MAMLD1	TRUE	TRUE	FALSE
cg16442715	TAB1	protein_coding	cg16442715	NA	MAP3K7IP1	22	39796206	MAP3K7IP1	FALSE	FALSE	TRUE
cg16443152	CAMSAP2	protein_coding	cg16443152	0.0265840680095258	CAMSAP1L1	1	200708104	CAMSAP1L1	FALSE	FALSE	TRUE
cg16443939	ERLIN1	protein_coding	cg16443939	0.0191352651568046	ERLIN1	10	101945124	ERLIN1	TRUE	TRUE	FALSE
cg16444968	CPNE7	protein_coding	cg16444968	NA	CPNE7	16	89641723	CPNE7	TRUE	TRUE	FALSE
cg16446783	MRGPRX4;RP11-113D6.6;SAA2-SAA4	protein_coding;lincRNA	cg16446783	0.376106394918826	MRGPRX4	11	18193360	MRGPRX4	TRUE	FALSE	TRUE
cg16449464	METAP1D;SLC25A12	protein_coding	cg16449464	0.554345324804975	MAP1D	2	172864337	MAP1D	FALSE	FALSE	TRUE
cg16449972	ZNF423	protein_coding	cg16449972	NA	ZNF423	16	49861382	ZNF423	TRUE	TRUE	FALSE
cg16452396	PHF6	protein_coding	cg16452396	0.159507584110271	PHF6	X	133507394	PHF6	TRUE	TRUE	FALSE
cg16454349	SEPT12;SMIM22	protein_coding	cg16454349	0.777720038662042	SEPT12;LOC440335	16	4837889	LOC440335;SEPT12	FALSE	FALSE	TRUE
cg16456919	LRRN2	protein_coding	cg16456919	0.56527198771858	LRRN2	1	204655378	LRRN2	TRUE	TRUE	FALSE
cg16462075	NA	.	cg16462075	0.737992341383832	NA	7	100544220	NA	TRUE	TRUE	FALSE
cg16463460	WT1	protein_coding	cg16463460	0.6104158922254	WT1	11	32454718	WT1	TRUE	TRUE	FALSE
cg16464322	HNRNPL	protein_coding	cg16464322	NA	HNRNPL	19	39343574	HNRNPL	TRUE	TRUE	FALSE
cg16465769	SLC22A7	protein_coding	cg16465769	0.847173850354546	SLC22A7	6	43266151	SLC22A7	TRUE	TRUE	FALSE
cg16465939	KCNQ1	protein_coding	cg16465939	0.638962180394297	KCNQ1	11	2554410	KCNQ1	TRUE	TRUE	FALSE
cg16466334	MMP3	protein_coding	cg16466334	0.643468528133763	MMP3	11	102714358	MMP3	TRUE	TRUE	FALSE
cg16467694	POLR2G	protein_coding	cg16467694	NA	POLR2G	11	62529198	POLR2G	TRUE	TRUE	FALSE
cg16468729	CXCL8	protein_coding	cg16468729	0.104328483592939	IL8	4	74606465	IL8	FALSE	FALSE	TRUE
cg16468910	SNX4	protein_coding	cg16468910	NA	SNX4	3	125238791	SNX4	TRUE	TRUE	FALSE
cg16469386	SLC38A1	protein_coding	cg16469386	0.00851010801260076	SLC38A1	12	46662743	SLC38A1	TRUE	TRUE	FALSE
cg16470760	CD4	protein_coding	cg16470760	NA	CD4	12	6898217	CD4	TRUE	TRUE	FALSE
cg16470957	CYB561D2;NPRL2;XXcos-LUCA11.5	protein_coding	cg16470957	0.0201007204321538	TUSC4;CYB561D2	3	50388565	CYB561D2;TUSC4	FALSE	FALSE	TRUE
cg16473288	OR1N1	protein_coding	cg16473288	0.905097920180589	OR1N1	9	125290120	OR1N1	TRUE	TRUE	FALSE
cg16474684	RNF4	protein_coding	cg16474684	0.0278934998982566	RNF4	4	2470049	RNF4	TRUE	TRUE	FALSE
cg16474696	MRI1	protein_coding	cg16474696	0.0196811496561927	MRI1	19	13875014	MRI1	TRUE	TRUE	FALSE
cg16475089	NA	.	cg16475089	0.0102775265825557	NA	NA	0	NA	TRUE	TRUE	FALSE
cg16477324	ADCK4;ITPKC	protein_coding	cg16477324	0.0154264411447691	ITPKC;ADCK4	19	41223331	ADCK4;ITPKC	TRUE	TRUE	FALSE
cg16478145	TFPI	protein_coding	cg16478145	0.851748357998883	TFPI	2	188419830	TFPI	TRUE	TRUE	FALSE
cg16478792	RGSL1	protein_coding	cg16478792	0.908401911624818	RGSL1	1	182458262	RGSL1	TRUE	TRUE	FALSE
cg16479674	ZNF672	protein_coding	cg16479674	NA	ZNF672	1	249131947	ZNF672	TRUE	TRUE	FALSE
cg16480145	RUSC2	protein_coding	cg16480145	0.0108027159647028	RUSC2	9	35489718	RUSC2	TRUE	TRUE	FALSE
cg16480209	CNGB1	protein_coding	cg16480209	0.957368835951917	CNGB1	16	58004460	CNGB1	TRUE	TRUE	FALSE
cg16481024	KLF10	protein_coding	cg16481024	0.00830843320000521	KLF10	8	103668053	KLF10	TRUE	TRUE	FALSE
