Hybridization REF	TCGA-AA-A004-01A-01D-A00B-05	TCGA-AA-A004-01A-01D-A00B-05	TCGA-AA-A004-01A-01D-A00B-05	TCGA-AA-A004-01A-01D-A00B-05
cg10124201	0.65995106605376	BOLL	2	198650752
cg10124491	0.0228039459125954	GABPB2	1	151042967
cg10125119	0.0468781047013446	CSDE1	1	115300850
cg10125195	0.49243457180088	LACRT	12	55028545
cg10126874	0.0124305754557889	CRY1	12	107487097
cg10126923	0.626055849704463	NKG7	19	51875451
cg10127415	0.755460339319519	MAGEB6	X	26210523
cg10128164	0.0700982481106238	COCH	14	31344535
cg10128868	0.0237056138656122	PDIA4	7	148725440
cg10129493	0.755374796718977	CD33	19	51728586
cg10130071	NA	GALNT1	18	33233658
cg10133777	0.548045233991739	DMKN	19	36005906
cg10134939	NA	FAM176A	2	75796855
cg10135708	0.450245010436215	UCN2	3	48601117
cg10135717	0.246263558938327	ADAMTS17	15	100882647
cg10137010	0.312187003504533	TRPV3	17	3462438
cg10137155	0.0155851778902531	KBTBD8	3	67049254
cg10139614	NA	APRT	16	88878480
cg10139846	0.01304280334288	INADL	1	62207966
cg10140638	0.681507891494581	PTPRN	2	220174207
cg10141022	0.0210268412869152	BRAF	7	140624905
cg10141715	0.590815087484956	SLC5A8	12	101603453
cg10143146	0.382769041498913	COL11A2;RXRB	6	33161377
cg10145369	0.00797611659215939	DAD1	14	23058288
cg10145725	0.805213134516885	KLRA1	12	10753472
cg10145926	0.628364145398735	C14orf139	14	95875792
cg10146929	0.686840609586736	HIST1H1A	6	26017939
cg10148280	0.396783647971188	HPS3	3	148846750
cg10148841	0.800975021588875	ROBO4	11	124767455
cg10149329	0.0221976384044676	MFSD8;C4orf29	4	128887145
cg10149836	0.59196248389704	RAB11FIP4	17	29719312
cg10150530	0.270359333590087	LRMP	12	25205468
cg10150813	0.151479152149559	SEL1L3	4	25865178
cg10154655	0.0123939684162872	PNPO	17	46019165
cg10154926	0.00962813106476466	HAP1	17	39891009
cg10157098	0.628060955967843	FAM71F1	7	128354967
cg10158080	0.567010372193596	SOX5	12	24715864
cg10158181	0.0083422388454292	GRK4;NOP14	4	2965841
cg10158711	0.00903641399639078	PDIA4	7	148725822
cg10159529	0.789186136419742	IL5RA	3	3152530
cg10160407	0.0803877493818055	PDGFRL	8	17434805
cg10161121	0.788013044913087	FASLG	1	172628020
cg10162464	0.122627856063308	ZNF282	7	148892662
cg10163825	0.0862616951258253	HAGHL;CCDC78	16	776685
cg10164137	0.0212113154310356	DVL1	1	1285239
cg10164640	0.014464395875571	HPDL	1	45792557
cg10164686	0.0151750545329	SERPINB6	6	2971950
cg10165198	0.0127551715905083	PCCB	3	135969429
cg10166697	0.034442280713574	SLC25A13	7	95950588
cg10167296	0.0594801654846167	RASSF5	1	206680628
cg10168628	0.543022337230299	NA	NA	0
cg10169812	NA	CD38	4	15779392
cg10171125	0.349524515323092	SCARA5	8	27850315
cg10172318	0.0231230052614286	DRAP1;C11orf68	11	65686003
cg10173075	0.496603374269554	RLBP1	15	89764836
cg10173675	0.919333247621797		2	238513348
cg10173723	0.390050225194004	KRT27	17	38940118
cg10174687	0.0188638095184404	FAM98B	15	38746780
cg10174864	0.0340334177557607	FANCL	2	58468631
cg10175795	0.523305464720302	TCERG1L	10	133109194
cg10177528	NA	TRAF5	1	211499638
cg10179196	0.590993561493376	CXCL14	5	134915088
cg10179684	0.0122919033490795	STARD7	2	96874394
cg10180697	0.772179266152959	DHFR;MSH3	5	79948941
cg10182321	0.557689628641138	STK32B	4	5052393
cg10183248	0.0188323728322649	UBTF	17	42295591
cg10184881	0.00922152780278323	PTP4A2	1	32404326
cg10184886	0.0736546913400296	PLA2G6	22	38577578
cg10185638	0.0130960359949075	ANKZF1;ATG9A	2	220094490
cg10186308	0.0138411472126187	CALCOCO1	12	54121077
cg10186456	NA	TMPRSS8	16	2892912
cg10187559	0.626534050406185	TTYH1	19	54926277
cg10187932	0.0476767429709988	PARP11	12	3982816
cg10188131	0.00948771215890441	LRSAM1;RPL12	9	130214136
cg10189695	0.593865796988373	GPR78	4	8582300
cg10189763	0.567927779975713	MUC7	4	71337726
cg10190509	0.832842745359193	CCL16	17	34308137
cg10193817	0.283924027210415	CADM1	11	115375226
cg10194829	0.164453750168007	FGF17	8	21900177
cg10196289	0.0207199240574362	NSMAF	8	59572185
cg10198837	NA	CD8B	2	87090202
cg10198932	0.187011596052565	C21orf129;NCRNA00112	21	43136287
cg10200408	0.0137800275820558	ASB8	12	48551356
cg10201668	0.58998412049655	DUOX1;DUOXA1	15	45422393
cg10202457	0.0947944728815161	NMNAT2	1	183387751
cg10203483	0.459048335157083		2	85646239
cg10203523	0.0110974371268114	MRFAP1L1	4	6711606
cg10207745	NA	C12orf36	12	13529963
cg10207787	0.937600131459239	PPP2R2A	8	26148195
cg10207917	NA	GH1	17	61997029
cg10210238	0.692690050034903	NA	NA	0
cg10211252	0.0202717546194402	ZNF488	10	48355286
cg10211788	0.0141740702647683	BRD2	6	32936073
cg10211877	0.010781263948887	PDRG1	20	30539733
cg10212621	0.287000617132785	HMGCS2	1	120311649
cg10213812	0.898543817207168	FOXN1	17	26850322
cg10213821	0.315011742294028	BUD31;PDAP1	7	99005134
cg10214058	0.0318567119115177	CNOT8	5	154238169
cg10215079	NA	TAC3	12	57410788
cg10215570	0.0202713440059279	DPY30	2	32265051
cg10215884	0.0228366283593236	TMEM161B	5	87564247
cg10216105	0.0251970141734922	TTL	2	113239349
cg10217445	0.474927341626008	OLIG2	21	34397784
cg10217449	0.0388045553416368	GNPDA2	4	44727930
cg10218426	0.00947419346253835	CKAP2	13	53029438
cg10218646	0.0201758605456028	NA	NA	0
cg10218959	0.0220464381593354	LOC389791;PTGES2	9	130890202
cg10219037	0.0200309957574797	C11orf1;FDXACB1	11	111750118
cg10220156	0.0131388446596478	KIF13B	8	29120487
cg10221501	0.935665102926311	CMTM1	16	66600394
cg10221736	0.929791659362952	TICAM1	19	4818359
cg10222534	0.923572796093666	KCNJ14	19	48958894
cg10222574	0.0106844082816975	CASC2;RAB11FIP2	10	119805826
cg10224037	0.00774702998552879	ZNF354A	5	178157518
cg10225525	0.868907468289089	FUT8	14	65876865
cg10226546	0.0555717253307393	NFATC2	20	50158996
cg10226744	0.0190070796471717	ATXN10	22	46068542
cg10227191	NA	KRT18	12	53342746
cg10227731	0.0177517109757618	ZNF16	8	146175923
cg10234776	0.0127617184075149	NRBF2	10	64892880
cg10234985	0.683548389509219	IZUMO1	19	49249932
cg10235741	0.922913814762915	DNASE1L3	3	58200326
cg10235817	0.678165147184079	ADRA2C	4	3768555
cg10236239	0.619284082711244	SULT1C4	2	108994514
cg10237469	0.275475955714683	NA	NA	0
cg10237911	0.216888430362355	UTP15;ANKRA2	5	72861638
cg10238171	0.635514213399955	NA	NA	0
cg10238818	0.570368861751794	NA	NA	0
cg10239941	0.0144233983622697	MPV17	2	27545751
cg10240083	NA	SNX29	16	12608382
cg10240853	0.446846441396682	MOSPD3	7	100210548
cg10241097	NA	UBL4B	1	110654660
cg10242476	0.803221869854146	LRRC2;TDGF1	3	46619364
cg10244047	0.0574239235577015	BAI3	6	69346114
cg10245048	0.0146827645920089	TNFRSF10A	8	23082569
cg10246296	0.0421337184757338	CLCN4	X	10124977
cg10246520	NA	OLFM4	13	53601944
cg10247252	0.476172093969706	GALR2	17	74071168
cg10247268	0.0155114787183364	PFKP	10	3109799
cg10248727	0.802503088782316	NA	NA	0
cg10248733	0.0211658985864169	C19orf44;CALR3	19	16607483
cg10249734	0.3460797858648	SECTM1	17	80292079
cg10250107	0.0775735573057264	AFAP1	4	7940843
cg10252059	0.0119995961378424	CYP20A1	2	204103465
cg10253484	0.0201245729199347	SCAMP2	15	75165896
cg10256052	0.00838024086058124	CPSF4;PTCD1	7	99036534
cg10257049	0.577756629230241	C5orf4	5	154230308
cg10261191	0.625953251027355	FEZ1	11	125364744
cg10261589	0.0397557909775076	NHEDC2	4	103997969
cg10262425	0.0419756378867616	PGLS	19	17622362
cg10264187	0.0110514592442291	SLC39A13	11	47429713
cg10265786	NA	DOM3Z;STK19	6	31940028
cg10266068	0.0338175613783857	PGPEP1	19	18451573
cg10266188	0.0134122726196821	TXLNA	1	32645867
cg10266490	0.567513767272289	ACOT11	1	55013709
cg10269439	0.561374684832083	IL1F7	2	113670582
cg10271717	NA	PRPF6	20	62612854
cg10272885	0.0119072285031512	SNAPIN	1	153631237
cg10273210	0.0134767468585674	TRIM59	3	160167665
cg10274502	0.0216125727962474	SPEN;FLJ37453	1	16173759
cg10274830	0.0304224397933341	C6orf211;RMND1	6	151774009
cg10274908	0.0320564212370806	NA	NA	0
cg10275770	0.648810106203187	ICAM2	17	62084205
cg10276549	0.352183547178579	GABRE	X	151143686
cg10276576	NA	C11orf24	11	68039926
cg10277146	0.0298904054642271	SPAST	2	32288253
cg10277195	NA	MDC1	6	30684931
cg10277781	0.00896428805508344	CNIH	14	54908028
cg10279685	0.0140899756607684	NPHP1	2	110962429
cg10280342	0.549030776366403	PSPN	19	6376576
cg10281002	0.662729785913721	TBX5	12	114846399
cg10281478	0.283258348816863	DYNC1I1	7	95402528
cg10281770	0.228018070812184	WDR45L	17	80606947
cg10282491	0.354679167775156	CLDN9	16	3062368
cg10283277	0.0416565270012385	SIK2	11	111472630
cg10287137	0.347807343777229	P2RY2	11	72929054
cg10289190	0.0123385121357317	GRHPR	9	37422575
cg10289912	0.0206912327122792	ZNRF2	7	30324033
cg10290730	0.928862617993445	ATP2B3	X	152801187
cg10293925	0.768178836758469	AMPH	7	38670985
cg10294200	0.0212667902853162	NAA25	12	112546905
cg10294797	0.00978042048908055	MAP3K9	14	71275631
cg10294836	0.0184385482309475	DYRK1B	19	40324746
cg10296238	NA	C21orf56	21	47605174
cg10298205	0.905120657114616	EEF1D;NAPRT1	8	144661917
cg10298815	0.586336740475349	GPR88	1	101004474
cg10299667	0.00851635430020426	SLC25A10	17	79679470
cg10300154	NA	MTRR;FASTKD3	5	7870577
cg10300684	0.622944819279189	FOXG1	14	29236323
cg10301967	0.0124275828637112	VPS52;RPS18	6	33240022
cg10301990	0.0214146868735371	UBXN8	8	30601223
cg10302026	0.00869803646244352	FKRP;STRN4	19	47249514
cg10303487	0.656812538368753	DPYS	8	105479058
cg10303842	0.49128695839732	CDH12	5	22853730
cg10305797	0.746642145989018	KRTDAP	19	35981677
cg10307548	0.740841271902081	SOD3	4	24795830
cg10309835	0.027757408099446	KDELR1	19	48894715
cg10313093	0.0158176622946597	TMEM165	4	56261753
cg10313633	NA	TP53I11	11	44972890
cg10313673	0.230782507920929	CILP2	19	19649144
cg10313675	0.00836542770728975	C1orf74	1	209957739
cg10314752	0.034177616545584	PPP4R4	14	94640828
cg10315128	0.0179875450708403	SMAD4	18	48556631
cg10315334	0.533992841259554	CCL5	17	34207332
cg10316381	0.012981073915253	SNX10	7	26331464
cg10316635	0.0234865045884458	INADL	1	62208645
cg10316764	0.406781313590859	TAOK2	16	29984665
cg10318258	0.280079560442655	RIPK3	14	24809759
cg10318351	0.074490303468234	GNL3L	X	54556330
cg10318443	0.0125625504385395	GLOD4;RNMTL1	17	685449
cg10319505	0.0139600731897706	RASEF	9	85678251
cg10321196	0.195587895443419	LOC100303728;SLC25A5	X	118601891
cg10321208	0.0380333120322678	CPT2	1	53662243
cg10321723	0.435220369585863	PDZK1	1	145727762
cg10322308	0.0152061020585427	PARS2	1	55229957
cg10322876	0.396344945926563	CYP2B6	19	41496749
cg10324224	NA	TTC13;ARV1	1	231115997
cg10326447	0.00940392466787595	NRGN	11	124609941
cg10328462	0.0124500128613282	GRPEL2	5	148724862
cg10328573	0.664813616958536	KRT9	17	39728221
cg10329418	0.301961896065342	PON3	7	95026181
cg10331038	NA	TNR	1	175376028
cg10331048	0.0966284747324678	MRPL11	11	66205894
cg10331779	0.521637380141168	CTNND2	5	11904811
cg10332700	0.621190544948151	ZNF415	19	53636077
cg10333959	0.947723373014219	MGMT	10	131354940
cg10334385	0.0320967138098721	C2orf50	2	11272868
cg10334928	0.939972585217209	STON2	14	81865007
cg10335112	0.232256260038329	ODF3	11	195572
cg10335931	0.871691533738268	MYBPC3	11	47374575
cg10337772	0.0175245764869889	KIF15;KIAA1143	3	44803071
cg10337819	NA	LTB4R2;CIDEB	14	24778279
cg10338338	0.0501777161489746	SLC2A3	12	8088931
cg10339201	0.951781741103612	F9	X	138612930
cg10342590	0.9725294909557	FAU;MRPL49	11	64888229
cg10343901	0.0138577016638975	RAB6A	11	73472211
cg10345936	0.263123467570524	SLC36A2	5	150727812
cg10346242	0.0266909288188006	ARF3	12	49351625
cg10347418	0.515691381374051	ZNF436	1	23693926
cg10347998	0.013294078066487	GSK3B	3	119812602
cg10348643	0.0211490329223153	C1orf198	1	231004374
cg10348863	0.0125349044918679	ING2	4	184425226
cg10349665	0.961098518759199	NSDHL;CETN2	X	151998187
cg10353436	0.0166359396243582	EIF4A1	17	7476140
cg10353870	0.0158333539650859	BIN1	2	127864778
cg10356060	0.0142513727847105	DNAJC18	5	138775106
cg10356463	0.930750540262674	ITIH1	3	52811376
cg10358212	NA	ATMIN	16	81069005
cg10361696	0.04401442309276	FAM109A	12	111806472
cg10362426	0.0332270597070792	TMEM59;C1orf83	1	54518856
cg10362475	0.718909650788152	SHANK2	11	70507825
cg10362591	0.747410665741294	SLC6A2	16	55689865
cg10364182	0.0401701781270952	RAG2;C11orf74	11	36615998
cg10364513	0.592664266494707	RXRG	1	165414379
cg10365880	0.840598894484021	PKD2L1	10	102089681
cg10367730	0.0235791028398778	PRDX3	10	120938495
cg10368842	0.117554263786169	NA	NA	0
cg10368981	0.0134551319896112	DPYSL2	8	26435313
cg10370591	0.505995349498903	TPO	2	1417431
cg10371914	0.584993917771006	NA	NA	0
cg10373645	0.0205949386072231	DUSP11	2	74007265
cg10375110	0.762655345504472	CHRNA9	4	40337443
cg10375802	0.0208194295463491	C1orf57	1	233086192
cg10376763	0.809623758132677	TNP1	2	217724363
cg10377211	0.0176564030312344	TM9SF3	10	98345995
cg10377274	0.887127052995966	PATE1	11	125616888
cg10377451	0.00961862324881156	RAB33B	4	140375014
cg10377764	0.0164535279271709	RAD52	12	1059224
cg10379112	NA	TMEM159;DNAH3	16	21169738
cg10379687	0.595432107925172	SPINLW1	20	44175957
cg10383428	0.565736530168426	NCAPD2	12	6604190
cg10383839	0.00555554274359701	LAPTM4A	2	20251043
cg10384134	0.0338033933503018	RPS9	19	54704842
cg10387416	0.0118522133816785	TATDN2	3	10290486
cg10387901	0.0245775332629975	MRPS25	3	15106641
cg10390922	0.0322314765642333	BCAS3	17	58755255
cg10391629	0.0212668083645014	AKAP11	13	42846072
cg10392768	0.0167141690533005	ALOXE3	17	8021828
cg10394139	0.0265184575098617	NA	NA	0
cg10394385	0.0726693854069008	PGAP3;ERBB2	17	37844289
cg10396357	0.0170583434883501	TFAP4	16	4323326
cg10396470	0.0242858573487003	NUP107	12	69080893
cg10398682	0.673804129539027	BNC1	15	83952019
cg10398950	0.0145253565152019	CDK12	17	37618454
cg10399228	0.722452827752765	NA	NA	0
cg10399369	0.00929604643419168	CABC1	1	227128009
cg10401088	0.127975780149388	LUM	12	91505197
cg10401803	0.155992077407592	BCYRN1;TAF1	X	70586179
cg10402626	0.0150779935317893	RPS5	19	58898400
cg10403260	0.0106043503878436	NA	NA	0
cg10404950	0.0246810441970068	ALKBH8	11	107436442
cg10408410	NA	RLBP1	15	89765425
cg10409560	0.696141342559701	C4orf26	4	76481299
cg10409680	0.0637571382255899	HLA-C	6	31239320
cg10409799	0.0222133629993827	ADAR	1	154600487
cg10412312	0.408345614287603	IFLTD1	12	25705861
cg10413342	0.0112544790567571	MRPL21;IGHMBP2	11	68671697
cg10414058	0.34564228658344	RELL2;HDAC3	5	141017903
cg10414946	0.276929190066931	MS4A2	11	59856358
cg10415235	0.0133606287622462	COX8A	11	63741849
cg10417559	0.821311577744472	PRICKLE3	X	49043355
cg10421192	0.97322443367316	CTAGE1	18	19998010
cg10421561	0.0162992394869876	NA	NA	0
cg10423227	0.0122250272763147	AFTPH	2	64752200
cg10423830	0.0338557858770221	LOC646851;CBY1	22	39052594
cg10423860	0.117093901307371	NA	NA	0
cg10426652	0.0240621357272507	WDR75	2	190305703
cg10429262	0.0301896471350229	GPR157	1	9189507
cg10430690	0.913709751057612	KALRN	3	123813596
cg10431340	0.815065181063371	MPZ	1	161279108
cg10432177	0.0147579116349597	BIK	22	43506591
cg10432620	0.0111183862754729	FA2H	16	74808963
cg10432859	0.894421176060085	UGT1A10;UGT1A7;UGT1A9;UGT1A8	2	234590590
cg10435003	0.0225573018158276	MSH5	6	31707602
cg10441365	0.0113145028679167	SAR1B	5	133968626
cg10442358	0.0305199367996604	AGFG2	7	100137102
cg10444350	0.010387629021361	SFRS1	17	56084814
cg10446968	0.0133015326255136	SLC25A12	2	172750661
cg10447080	0.357475985176773	FILIP1	6	76203225
cg10448528	0.0127327295725723	ZNF202	11	123612020
cg10449070	0.0422831121007693	ALDH2	12	112204506
cg10450322	0.02418688518473	CDKN2C	1	51434373
cg10451401	0.0153916828156611	RAC1	7	6414196
cg10451565	0.420775083475481	GPR77	19	47840131
cg10452522	0.025222435437889	LSM14A	19	34663544
cg10453040	NA	TMEM68;TGS1	8	56685352
cg10453365	0.0239571528481401	RHCG	15	90039909
cg10453758	NA	UBA5;ACAD11	3	132380190
cg10454268	0.0393117714753237	STX3	11	59522542
cg10455133	0.184788994565626	ARAF	X	47420508
cg10455676	0.0186779831858105	MTIF2	2	55496384
cg10457247	0.648218009321591	PRDM14	8	70983079
cg10457895	0.0258475327718218	RSRC1	3	157828290
cg10458581	0.0103334028499044	UQCRQ	5	132202244
cg10458876	0.0786943180249316	PSKH1	16	67927632
cg10459515	0.010520750579792	BCLAF1	6	136611098
cg10464585	0.0798342954213921	CNOT2	12	70636491
cg10464775	NA	LAMP1	13	113950453
cg10465696	NA	ROBO4	11	124767948
cg10466917	0.134091793566284	NA	NA	0
cg10467022	0.146819611503075	CALCA	11	14994983
cg10467098	0.275887796287706	C11orf68;DRAP1	11	65687892
cg10467681	0.0174591508903664	ANAPC2;SSNA1	9	140083784
cg10468369	0.0102635180258245	DDX19B	16	70333434
cg10468702	0.629899555712659	PTGER1	19	14585209
cg10473004	0.010475660428147	CPNE3	8	87526705
cg10474368	0.00815773841805132	XRRA1;SPCS2	11	74660190
cg10475433	0.0203046840853256	FTSJD1	16	71323603
cg10477754	0.0303516336102523	PPRC1	10	103892376
cg10478221	0.3749106053366	WFIKKN1	16	679917
cg10479325	0.0224859409252485	MFSD8;C4orf29	4	128886426
cg10479672	0.610959178628347	IL1F8	2	113810641
cg10480741	0.0104589733327405	PPP5C	19	46850482
cg10481417	0.0145039208435351	CYP1A1	15	75018528
cg10481740	0.0186640775845889	LETM1	4	1857103
cg10482024	0.0214736633331827	AK3L1	1	65613042
cg10482750	0.00760337016562248	NRD1	1	52344120
cg10484450	0.0112567425073366	TMEM229B	14	67982152
cg10484485	0.00895310704177606	KIAA0922	4	154387599
cg10484958	0.136327588634398	PCDH8	13	53424127
cg10485472	0.0170867947394985	TMEM68;TGS1	8	56686346
cg10485724	0.0148870870811406	NA	NA	0
cg10486998	0.482043506241673	GALR1	18	74961787
cg10487127	0.0171736008049643	ATXN1	6	16761668
cg10488141	0.0105492055361024	SUFU	10	104264014
cg10488185	0.0178182938655343	MLL5;LOC100216545	7	104654258
cg10488476	0.011601347744059	ITGA3	17	48133676
cg10488637	0.0160403225350731	ZNF180	19	45004845
cg10490064	0.857327797515587	CRYBB2	22	25617422
cg10490196	0.00995192752019168	TPCN2	11	68816451
cg10491648	0.0172387325713325	WDR54	2	74648490
cg10493166	0.027853181910362	PTGS1	9	125133121
cg10493739	0.046995811674459	TMEM38B	9	108456981
cg10494770	0.509004073118431	IGLL1	22	23922454
cg10494773	0.0388148120401976	SRP54	14	35452441
cg10497569	0.0112226671473546	RAB23	6	57087038
cg10498097	0.889927818863472	C2orf62	2	219221131
cg10498963	0.014506446629396	GALK1	17	73761106
cg10500167	0.841980011848051	ATP2B2	3	10492478
cg10500283	0.584932868269534	UTS2	1	7913081
cg10500716	NA	WDR77;ATP5F1	1	111993148
cg10500909	NA	CYP11B2	8	144000015
cg10501065	0.164032370118126	IGF2AS;INS-IGF2;IGF2	11	2164976
cg10501128	0.00981733270208477	FLT1	13	29069100
cg10501629	0.895544910062992	ATP2B1	12	90049560
cg10503138	0.78584144118342	CNTN4	3	2142391
cg10503232	0.733741681200732	KCNQ1DN	11	2891495
cg10503234	NA	FSTL3	19	676739
cg10506212	0.00962504353601959	GGCX	2	85788810
cg10506318	NA	ERCC8;NDUFAF2	5	60239580
cg10507231	0.964608003363092	PIK3C2B	1	204459638
cg10507961	0.015751238241382	CCDC83	11	85565852
cg10515956	0.030776355697934	MCOLN3	1	85514610
cg10516359	0.963187135730768	SLC35C1	11	45827763
cg10516886	0.185367129200991	CD53	1	111415232
cg10517312	NA	TRIM69	15	45027253
cg10519140	0.238946508374171	SLC29A1	6	44187076
cg10520594	0.0206701327556726	NT5C	17	73127197
cg10520887	0.644348026421942	UNC5C	4	96470094
cg10521267	0.0259728476618491	ZNF684	1	40997127
cg10521852	0.120080347517375	LPAR2	19	19739820
cg10523019	0.154717816846177	RHBDD1	2	227700458
cg10523494	NA	CD300LB	17	72528386
cg10523671	0.940841845634251	SLC15A2	3	121612956
cg10523820	0.0158355949987842	ACTN3;ZDHHC24	11	66314211
cg10524192	0.0784614668379888	SIGMAR1	9	34637478
cg10524983	0.0627121979073914	GYG1	3	148708929
cg10525372	0.602225442253351	WISP3	6	112375333
cg10525488	0.233414686497427	C4orf32	4	113066439
cg10526232	0.0442865182520754	NA	NA	0
cg10526888	0.0455854568636905	MAGT1	X	77151237
cg10527457	0.0115190006443814		3	172468452
cg10528989	0.614412533791713	BDKRB1	14	96722306
cg10530281	0.0214189255194104	TBX3	12	115122054
cg10530713	0.96470140153926	NA	NA	0
cg10530733	0.532642155317518	GPR173	X	53078631
cg10531372	0.910452894949236	FAM71A	1	212798363
cg10533434	0.341743758498632	NA	NA	0
cg10533739	0.0169581717754043	RAP2B	3	152880684
cg10534672	0.0369596596078388	C1QTNF2	5	159797275
cg10536534	0.0415523656599446	MCTS1	X	119737767
cg10536625	0.827581363720374	NA	NA	0
cg10536916	0.570074840149568	HIST1H4L	6	27841865
cg10537079	0.328896611145262	OTC	X	38211655
cg10537269	0.0867654118440354	KIAA0586;TIMM9	14	58894458
cg10539418	0.0135508724626856	CCND1	11	69455712
cg10539507	0.155806049464744	NKX6-1	4	85420782
cg10539712	0.0183083760074944	NA	NA	0
cg10539808	0.466402141866313	KCTD1	18	24220737
cg10541755	0.0226925370083883	EIF5A2	3	170625872
cg10541994	0.0109720961612978	TMEM30A	6	75994262
cg10544564	0.412863337545743	CADM3	1	159141860
cg10545682	0.0118885939373376	TUFT1	1	151512625
cg10546523	0.0152410989734061	SEMA3B	3	50310484
cg10548277	0.0232931673394968	MED8;C1orf84	1	43855471
cg10548978	0.763463800594662	C10orf27	10	72545053
cg10549188	0.0257442939231142	ANP32E	1	150208539
cg10549973	0.0303046501558283	TOMM20L	14	58863097
cg10551759	0.0112840402166475	FAM3C	7	121036528
cg10552385	0.00737861017903495	RB1	13	48878037
cg10553028	0.0242643923625797	CMTM8	3	32280480
cg10556064	0.880635219750464	SMPD3	16	68481489
cg10557828	0.0642886549733183	PLOD2	3	145879642
cg10559803	0.259111673359591	RALGPS2	1	178693897
cg10560038	0.946689181469647	CMTM5;IL25	14	23844876
cg10560144	0.093942851923931	PGK1	X	77359355
cg10561472	0.0138755230444357	ZBTB7A	19	4066818
cg10562586	0.578174831347686	MAP2	2	210444154
cg10563284	0.02062378601846	PAK6	15	40531152
cg10564498	0.0779431125980109	AXL	19	41724653
cg10566677	0.026193355146952	NA	NA	0
cg10568796	NA	PI4KA	22	21193857
cg10568944	0.0482319877322461	CENPQ;MUT	6	49430788
cg10569414	0.485363907058414	C21orf121	21	43442254
cg10569616	0.909368940087166	POT1	7	124536676
cg10570177	0.0185957979607876	C9orf7	9	136324586
cg10573763	0.0127755484999496	COPE;DDX49	19	19030094
cg10574499	0.746018207545055	NRN1L	16	67918754
cg10575414	0.012485969431571	RTDR1	22	23484308
cg10575735	0.834041607910776	NA	NA	0
cg10575841	0.010143129363611	TMED7;TMED7-TICAM2	5	114961393
cg10576828	0.93139675683708	LRRC7	1	70225863
cg10578779	0.0281475589703871	SNORD74;ZBTB37;GAS5	1	173837995
cg10579246	0.853136028342666	DPH3;OXNAD1	3	16305290
cg10581256	0.00838681978481649	ZNF33B	10	43133692
cg10583097	0.0123767891374758	RBM15B	3	51429234
cg10583382	0.0171570098190532	ELP4;IMMP1L	11	31531364
cg10583632	0.013240650145489	ZNF624	17	16557199
cg10584819	NA	HPRT1	X	133593670
cg10585462	0.83582905788835	C4orf7	4	71091866
cg10585962	NA	MOGAT2	11	75428198
cg10586599	0.0195061484834646	ORC1L;PRPF38A	1	52870280
cg10586756	0.949597471915301	NUP93	16	56782283
cg10588377	0.0244440958269724	HTRA1	10	124221799
cg10590292	0.797385222514911	BIN2	12	51717674
cg10591174	0.376680339759019	MYL2	12	111358446
cg10591659	0.831231920885507	NYX	X	41306768
cg10593493	0.0243158188399183	HOXC4;HOXC5;HOXC6	12	54411753
cg10594105	0.0292607627603413	ZNF428	19	44123224
cg10599444	0.202854560564561	MMP14	14	23305941
cg10601002	0.016031487076997	DDX51;NOC4L	12	132629051
cg10601168	0.0152151821880117	CNKSR3	6	154831192
cg10601939	0.0139692731613698	ARL5B	10	18948058
cg10602543	0.734555437505504	H19	11	2016747
cg10604168	0.515316775410547	RASL12	15	65360370
cg10604333	0.487414775686713	ZNF222	19	44529262
cg10604646	0.808943253580195	RGS5	1	163172649
cg10604703	0.0323251638526271	WDR5	9	137001737
cg10605520	0.645198864045366	HRH3	20	60796141
cg10608333	0.0118654216704027	HIST1H4K	6	27799360
cg10608341	0.619441048539254	HESX1	3	57234000
cg10609615	NA	TRAP1	16	3766942
cg10612997	0.339329099764848	GREB1	2	11673928
cg10613381	0.45666278797377	C22orf45;UPB1	22	24890330
cg10613440	0.00705676331891916	SUCLA2	13	48575400
cg10615091	0.0160072497478909	FAM13C	10	61122313
cg10617171	0.187617864815357	SCN1B	19	35521856
cg10618882	0.825360071694716	LRRC25	19	18509358
cg10620457	NA	C8B	1	57432110
cg10624445	NA	CNGB1	16	58006124
cg10624583	0.015553029914977	TENC1	12	53440492
cg10624768	0.017853167542278	DNAJA1	9	33024747
cg10627136	0.0560556478676323	HINT1	5	130500762
cg10628098	0.0152160187206378	SCYL1	11	65292300
cg10631471	0.236417998027876	LONP2	16	48279243
cg10633491	0.0137336578831578	ZBTB7A	19	4066815
cg10634115	NA	UTS2R	17	80330743
cg10634217	0.00999711756986649	TCP1;MRPL18	6	160211790
cg10634358	0.951679486611159	NSDHL;CETN2	X	151998182
cg10634424	0.382492028135522	NA	NA	0
cg10634551	0.0698903727511171	KCNMB2	3	178254242
cg10635061	0.186961194578008	FHL2	2	106055006
cg10636246	NA	AIM2	1	159046973
cg10637955	NA	BZW1	2	201675829
cg10639440	0.142068928248775	SCRN1	7	30029231
cg10640379	0.014143320517949	LARP1B	4	128981918
cg10642330	0.9465291823235	BLCAP;NNAT	20	36150061
cg10643489	NA	RQCD1	2	219434658
cg10644361	0.0635709417352533	MIPOL1	14	37667230
cg10644878	0.30605972784837	LYPLA1	8	55014388
cg10645113	0.97468795706893	SEMA4D	9	91979776
cg10645943	0.0122391057300148	LRRC45;STRA13	17	79980825
cg10646402	0.502586143775183	PTPRO	12	15475490
cg10647513	0.496201996726429	HBA1	16	227203
